,Unnamed: 0,ID,year,date,planted_area,latitude,longitude,aoi_area,total_flooding_area,flooding_date,geometry
170319,17,ID1505,2020,2020-04-27,4.97,16.386185597913897,-16.151541704308503,104.04,4.98,2020-02-07,"POLYGON ((-16.15618741777388 16.38166359127965, -16.156240458669284 16.39065638327806, -16.146895780938245 16.390707550579407, -16.146843168486757 16.381714728975254, -16.15618741777388 16.38166359127965))"
170320,18,ID1505,2020,2020-05-02,4.97,16.386185597913897,-16.151541704308503,104.04,4.98,2020-02-07,"POLYGON ((-16.15618741777388 16.38166359127965, -16.156240458669284 16.39065638327806, -16.146895780938245 16.390707550579407, -16.146843168486757 16.381714728975254, -16.15618741777388 16.38166359127965))"
170321,19,ID1505,2020,2020-05-07,4.98,16.386185597913897,-16.151541704308503,104.04,4.98,2020-02-07,"POLYGON ((-16.15618741777388 16.38166359127965, -16.156240458669284 16.39065638327806, -16.146895780938245 16.390707550579407, -16.146843168486757 16.381714728975254, -16.15618741777388 16.38166359127965))"
170322,20,ID1505,2020,2020-05-12,4.98,16.386185597913897,-16.151541704308503,104.04,4.98,2020-02-07,"POLYGON ((-16.15618741777388 16.38166359127965, -16.156240458669284 16.39065638327806, -16.146895780938245 16.390707550579407, -16.146843168486757 16.381714728975254, -16.15618741777388 16.38166359127965))"
170323,21,ID1505,2020,2020-05-17,4.98,16.386185597913897,-16.151541704308503,104.04,4.98,2020-02-07,"POLYGON ((-16.15618741777388 16.38166359127965, -16.156240458669284 16.39065638327806, -16.146895780938245 16.390707550579407, -16.146843168486757 16.381714728975254, -16.15618741777388 16.38166359127965))"
170324,22,ID1505,2020,2020-05-22,4.98,16.386185597913897,-16.151541704308503,104.04,4.98,2020-02-07,"POLYGON ((-16.15618741777388 16.38166359127965, -16.156240458669284 16.39065638327806, -16.146895780938245 16.390707550579407, -16.146843168486757 16.381714728975254, -16.15618741777388 16.38166359127965))"
170325,23,ID1505,2020,2020-05-27,4.98,16.386185597913897,-16.151541704308503,104.04,4.98,2020-02-07,"POLYGON ((-16.15618741777388 16.38166359127965, -16.156240458669284 16.39065638327806, -16.146895780938245 16.390707550579407, -16.146843168486757 16.381714728975254, -16.15618741777388 16.38166359127965))"
170326,0,ID1506,2020,2020-02-02,0.0,16.395178400813208,-16.151594547505308,104.25,7.1000000000000005,2020-02-27,"POLYGON ((-16.156240458669284 16.39065638327806, -16.156293532745124 16.399649167431424, -16.146948426302178 16.399700364341136, -16.146895780938245 16.390707550579407, -16.156240458669284 16.39065638327806))"
170327,1,ID1506,2020,2020-02-07,2.14,16.395178400813208,-16.151594547505308,104.25,7.1000000000000005,2020-02-27,"POLYGON ((-16.156240458669284 16.39065638327806, -16.156293532745124 16.399649167431424, -16.146948426302178 16.399700364341136, -16.146895780938245 16.390707550579407, -16.156240458669284 16.39065638327806))"
170328,2,ID1506,2020,2020-02-12,2.14,16.395178400813208,-16.151594547505308,104.25,7.1000000000000005,2020-02-27,"POLYGON ((-16.156240458669284 16.39065638327806, -16.156293532745124 16.399649167431424, -16.146948426302178 16.399700364341136, -16.146895780938245 16.390707550579407, -16.156240458669284 16.39065638327806))"
170329,3,ID1506,2020,2020-02-17,2.14,16.395178400813208,-16.151594547505308,104.25,7.1000000000000005,2020-02-27,"POLYGON ((-16.156240458669284 16.39065638327806, -16.156293532745124 16.399649167431424, -16.146948426302178 16.399700364341136, -16.146895780938245 16.390707550579407, -16.156240458669284 16.39065638327806))"
170330,4,ID1506,2020,2020-02-22,3.5,16.395178400813208,-16.151594547505308,104.25,7.1000000000000005,2020-02-27,"POLYGON ((-16.156240458669284 16.39065638327806, -16.156293532745124 16.399649167431424, -16.146948426302178 16.399700364341136, -16.146895780938245 16.390707550579407, -16.156240458669284 16.39065638327806))"
170331,5,ID1506,2020,2020-02-27,6.300000000000001,16.395178400813208,-16.151594547505308,104.25,7.1000000000000005,2020-02-27,"POLYGON ((-16.156240458669284 16.39065638327806, -16.156293532745124 16.399649167431424, -16.146948426302178 16.399700364341136, -16.146895780938245 16.390707550579407, -16.156240458669284 16.39065638327806))"
170332,6,ID1506,2020,2020-03-03,6.9,16.395178400813208,-16.151594547505308,104.25,7.1000000000000005,2020-02-27,"POLYGON ((-16.156240458669284 16.39065638327806, -16.156293532745124 16.399649167431424, -16.146948426302178 16.399700364341136, -16.146895780938245 16.390707550579407, -16.156240458669284 16.39065638327806))"
170333,7,ID1506,2020,2020-03-08,7.03,16.395178400813208,-16.151594547505308,104.25,7.1000000000000005,2020-02-27,"POLYGON ((-16.156240458669284 16.39065638327806, -16.156293532745124 16.399649167431424, -16.146948426302178 16.399700364341136, -16.146895780938245 16.390707550579407, -16.156240458669284 16.39065638327806))"
